序号,标题,简介,链接,发布时间,阅读数,评论数
1,"那些跑通 AI 变革的团队做对了什么？
胡一川：对，所以今天我发现，人越少的团队效率越高——他们没有那么多人的沟通，可能就是每天早上两三个人开半小时的会，把最重要的事情讨论决策，然后各自去干，让AI去干。王若愚：对，因为特别现实的一个点是：在座各位…",,https://www.sohu.com/a/1034841678_455313?scm=10001.325_13-325_13.0.0-0-0-0-0.5_1334&spm=smpc.channel_248.block3_308_NDdFbm_1_fd.2.1781151373534udvtkO8_324,,335,0
2,"AI时代，一种新经济正在长出来｜智联网·价值篇
如果AI只是做了一个简单的路由（把客户转接给人类），它不收或者只收极低的流量费；只有当AI独立、完整地帮客户解决了问题（比如成功办理了退款、修改了订单、挽留了退订），它才会收取一笔解决费，通常在每单1到1.5…",,https://www.sohu.com/a/1034323050_455313?scm=10001.325_13-325_13.0.0-0-0-0-0.5_1334&spm=smpc.channel_248.block3_308_NDdFbm_1_fd.4.1781151373534udvtkO8_324,,307,0
3,"人人都聊未来产业，无人关心未来社会
并非没有人讨论——许多研究报告涉及了“人机社会”“未来社区”“生成式社会学”等前沿概念；国际学界中，AI与社会不平等、算法权力、老龄化照护等议题也在升温。本文所说的“未来社会”，不是乌托邦蓝图，也不是哲学意义…",,https://www.sohu.com/a/1033817551_455313?scm=10001.325_13-325_13.0.0-0-0-0-0.5_1334&spm=smpc.channel_248.block3_308_NDdFbm_1_fd.6.1781151373534udvtkO8_324,,870,0
4,"腾讯研究院AI速递 20260608
Anthropic发长文披露Claude正加速AI发展，疑似递归自我提升（RSI）路径：截至5月超80%代码由Claude编写，工程师季度交付量是2021-2025年的8倍，开放编程任务成功率半年内从26%跃…",,https://www.sohu.com/a/1033484517_455313?scm=10001.325_13-325_13.0.0-0-0-0-0.5_1334&spm=smpc.channel_248.block3_308_NDdFbm_1_fd.7.1781151373534udvtkO8_324,,333,0
5,"万字实录现场直出：汤道生、姚顺雨对谈腾讯 AI 下半场
好的产品能够解决第一个问题：我们做预训练和后训练之后到底要把它应用在什么地方产生价值；第二个是环境是非常重要的，如果没有好的环境，那Agent没有办法做各种各样的事情，比如说如果没有一个点外卖的tool的话，…",,https://www.sohu.com/a/1032560716_455313?scm=10001.325_13-325_13.0.0-0-0-0-0.5_1334&spm=smpc.channel_248.block3_308_NDdFbm_1_fd.8.1781151373534udvtkO8_324,,545,0
6,"腾讯研究院AI速递 20260605
谷歌推出Gemma412B，把多模态智能体能力带到笔记本，介于边缘端E4B与26BMoE之间，仅需16GB显存即可本地运行，是谷歌首个支持原生音频输入的中等规模模型；新增工作板支持多智能体编排协同，主智能体可…",,https://www.sohu.com/a/1032305007_455313?scm=10001.325_13-325_13.0.0-0-0-0-0.5_1334&spm=smpc.channel_248.block3_308_NDdFbm_1_fd.9.1781151373534udvtkO8_324,,415,0
7,"Token必须死？
2026年5月，MIT何恺明团队和字节跳动Seed实验室几乎同时发布论文，给出了一个更明确的信号：语言生成的核心建模过程不必始终发生在离散token空间中，也可以转移到连续embedding或latent空间…",,https://www.sohu.com/a/1032206614_455313?scm=10001.325_13-325_13.0.0-0-0-0-0.5_1334&spm=smpc.channel_248.block3_308_NDdFbm_1_fd.10.1781151373534udvtkO8_324,,299,0
8,"腾讯研究院AI速递 20260604
架构分三层：Nemotron3Super模型负责推理，Hermes管理技能与记忆，OpenShell负责沙箱隔离，可全本地运行并接入Slack、Outlook、GitHub等数据源；KimiWork是面向知识…",,https://www.sohu.com/a/1031800192_455313?scm=10001.325_13-325_13.0.0-0-0-0-0.5_1334&spm=smpc.channel_248.block3_308_NDdFbm_1_fd.11.1781151373534udvtkO8_324,,306,0
9,"超级个体时代｜腾讯研究院3万字报告
在美图，CEO吴欣鸿提出了超级设计师的概念，内部已经出现了多个跨越岗位边界的案例：RoboNeo的产品负责人原来是设计师，自学了模型部署和AI编程，现在很难定义他到底是设计师、产品经理还是工程师；一位原本只跟…",,https://www.sohu.com/a/1031722997_455313?scm=10001.325_13-325_13.0.0-0-0-0-0.5_1334&spm=smpc.channel_248.block3_308_NDdFbm_1_fd.12.1781151373534udvtkO8_324,,1702,0
10,"腾讯研究院AI速递 20260603
纯文本能力接近旗舰Qwen3.7-Max，编程、Agent、推理及视觉推理多项评测显著提升，支持工具调用与GUI感知操控。真正的AI-Native组织需默认信任与平等主义两大前提，AI能力向每个人开放、对话全…",,https://www.sohu.com/a/1031284510_455313?scm=10001.325_13-325_13.0.0-0-0-0-0.5_1334&spm=smpc.channel_248.block3_308_NDdFbm_1_fd.13.1781151373534udvtkO8_324,,291,0
11,"什么可以抵消全球老龄化的影响？
自动化和人工智能，更高的老年人口劳动参与率，以及印度和非洲人口友好型经济体的发展前景，是我们最常听到的抵消老龄化影响的因素。一些非洲经济体的营商便利度得分确实比印度高，少数得分甚至比中国还高，然而，非洲存在两…",,https://www.sohu.com/a/1031150316_455313?scm=10001.325_13-325_13.0.0-0-0-0-0.5_1334&spm=smpc.channel_248.block3_308_NDdFbm_1_fd.14.1781151373534udvtkO8_324,,407,0
12,"腾讯研究院AI速递 20260602
针对当前世界模型本质仍是视频预测器、缺乏独立世界状态的局限，VAST提出将状态推演与视觉呈现原生解耦的三层架构技术路线；参考平台把行业最难最重复的基础集成工作做完，让团队站在标准化底座上创新，标志人形机器人从…",,https://www.sohu.com/a/1030856562_455313?scm=10001.325_13-325_13.0.0-0-0-0-0.5_1334&spm=smpc.channel_248.block3_308_NDdFbm_1_fd.15.1781151373534udvtkO8_324,,258,0
13,"一个理想的组织，是AI Agent在组织人｜AI跃迁者调研
我们每期会邀请一位AI跃迁者，可能是AI原生创业者，可能是正在用AI重做组织的一号位，也可能是把自己作为AIFirst实验的超级个体，分享他们想清楚的结论、拆过的过程、建出来的东西、交过的学费，以及在持续变化…",,https://www.sohu.com/a/1030698961_455313?scm=10001.325_13-325_13.0.0-0-0-0-0.5_1334&spm=smpc.channel_248.block3_308_NDdFbm_1_fd.16.1781151373534udvtkO8_324,,691,0
14,"腾讯研究院AI速递 20260601
北大数院""黄金二代""苏炜杰官宣加入OpenAI并晋升沃顿正教授，将从统计与优化理论直接参与模型训练，OpenAI联创Brockman发帖欢迎；前SalesforceAI研究负责人创办的actAVA发布CHIB…",,https://www.sohu.com/a/1030288132_455313?scm=10001.325_13-325_13.0.0-0-0-0-0.5_1334&spm=smpc.channel_248.block3_308_NDdFbm_1_fd.17.1781151373534udvtkO8_324,,439,0
15,"AI为什么会“失语”？
研究者扫描了GPT-2、Llama、Mistral等一批主流开源模型的词表，所谓词表，就是模型在读字之前预先编好的一张固定清单，把所有可能用到的字符组合都列进去，每一项叫一个token，模型说出的每一个字都必…",,https://www.sohu.com/a/1029435323_455313?scm=10001.325_13-325_13.0.0-0-0-0-0.5_1334&spm=smpc.channel_248.block3_308_NDdFbm_1_fd.18.1781151373534udvtkO8_324,,889,0
